,,,
,,,
Driver control 100 Alcohol or drugs,Dri,ver control 100 Alcohol or drugs,
,101, Alcohol suspected,
,102, Alcohol test below limit,
,103, Alcohol test above limit or test refused,
,104, Alcohol test result unknown,
,105, Intoxicated non-driver (pedestrian / cyclist / passenger),
,106," (MOT only) dead driver not suspect, tested neg",
,107, Drug test result unknown,
,108, Drugs suspected,
,109, Drugs proven,
,110, Too fast for conditions,
,111, Cornering,
,112, On straight,
,113, To give way at intersection,
,114, Approaching railway crossing,
,115, When passing stationary school bus,
,116, At temporary speed limit,
,117, At crash or emergency,
,120, Failed to keep left,
,121, Swung wide on bend,
,122, Swung wide at intersection,
,123, Cutting corner on bend,
,124, Cutting corner at intersection,
,125, On straight section,
,126, Vehicle crossed raised median,
,127, Driving or riding abreast (cyclists more than 2 abreast),
,128, Wandering or wobbling,
,129, Too far left / right,
,130, Lost control,
,131, When turning,
,132, Under heavy braking,
,133, Under heavy acceleration,
,134, While returning to seal from unsealed shoulder,
,135, Due to road conditions (requires road series code),
,136, Due to vehicle fault (requires vehicle series code),
,137," Avoiding another vehicle, pedestrian, party or obstacle on",
roadway,roa,dway,roadway
,138, On unsealed road,
,139, End of seal,
,140, Failed to signal in time,
,141," When moving to left, pulling over to left",
,142, When turning left,
,143, When pulling out or moving to the right,
,144, When turning right,
,145, Incorrect Signal,
,150, Overtaking,
,151, Overtaking line of traffic or queue,
,152, Deliberately in the face of oncoming traffic,
,153, Failed to notice oncoming traffic,
,154, Misjudged speed or distance of oncoming traffic,
,155, At no passing line,
,156, With insufficient visibility,
,157, At an intersection without due care,
,158, On left without due care,
,159, Cut in after overtaking,
,160, Vehicle signalling right turn,
,161, Without care at a pedestrian crossing,
,170, Wrong lane or turned from wrong position,
,171, Turned right from incorrect lane,
,172, Turned left from incorrect lane,
,173, Travelled straight ahead from turning lane or flush median,
,174, Turned right from left side of road,
,175, Turned left from near centre line,
,176, Turned into incorrect lane,
,177, Weaving or cut in on multi-lane roads,
,178, Moved left to avoid slow vehicle,
,179, Long vehicle tracked outside lane,
,180, In line of traffic,
,181, Following too closely,
,182, Travelling unreasonably slowly,
,183, Motorist crowded cyclist,
,184, Incorrect merging /diverging manoeuvre,
,190, Sudden action,
,191, Braked,
,192, Turned left,
,193, Turned right,
,194, Swerved to avoid pedestrian,
,195, Swerved to avoid animal,
,196, Swerved to avoid crash or broken down vehicle,
,197, Swerved to avoid vehicle,
,198, Swerved to avoid object or for unknown reason,
,199, Avoiding approaching emergency vehicle,
,200, Forbidden movements,
,201," Wrong way in one way street, motorway or roundabout",
,202,When turning or U turning contrary to a sign,
,203,Contrary to ‘in’ or ‘out’ only driveway sign,
,204,Driving or riding on footpath,
,205,"On incorrect side of road, island or median",
,206,Contrary to ‘no entry’ sign,
,207,In Car Park,
,208,Motor vehicle in cycle lane,
,209,Bus / Transit lane,
,210, Cyclist riding on ped-xing / ped signals,
,Veh,icle conflicts,
,300, Failed to give way,
,301, At Stop sign,
,302,At Give Way sign,
,303,When turning to non-turning traffic,
,304,"When deemed turning by markings, not geometry",
,305,"When turning left, to opposing right turning traffic (NOT",
,for, crashes occurring after 5am 25th March 2012),
,306,To pedestrian on a crossing,
,307,When turning at signals to pedestrians,
,308,When entering roadway from driveway,
,309,To traffic approaching or crossing from the right,
,310, Failed to give way at one lane bridge / road,
,311, Failed to give way to pedestrian on footpath or verge,
,312, Entering roadway not from driveway or intersection,
,313, To emergency vehicle,
,314, Driver waved through,
,315, When turning right to opposing left turning traffic (for,
,cra,shes occurring after 5am 25th March 2012),
,316, To traffic approaching or crossing from the left. (for,
,cra,shes occurring after 5am 25th March 2012,
,320,Did not stop,
,321, At stop sign,
,322, At steady red light,
,323, At steady red arrow,
,324,At steady amber light,
,325, At steady amber arrow,
,326,"At flashing red lights (Rail Xing, Fire Stn etc)",
,327, For police or flag-person,
,328, For school patrol / kea crossing,
,330,Inattentive: failed to notice,
,331," Vehicle slowing, stopping or stationary in front",
,332, Bend in road,
,333, Indication of vehicle in front,
,334,Traffic lights,
,335, Intersection or its Stop / Give Way control,
,336, Other regulatory sign / markings,
,337, Warning sign,
,338," Direction, information signs / markings",
,339, Road-works signs,
,340,Lane use arrows / markings?,
,341, Obstructions on Roadway,
,350,Attention diverted by:,
,351, Passengers,
,352, Scenery or persons outside vehicle,
,353, Other traffic,
