TLANAME,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,EASTING,NORTHING
Ashburton District,05/04/2014,Sat,2255,PO,CS1E,103A 198A 330A 724B 728B ,,R,W,DN,F , , ,C,100,1,0,0,1522691,5154177
Ashburton District,01/01/2014,Wed,1753,CB,CS1,131A ,TX,R,D,BN,F , ,N,N,100,0,1,0,1478333,5167504
Ashburton District,01/05/2014,Thu,310,DC,CS2,103A 109A ,FT,R,D,DN,F ,T,N,N,70,0,0,1,1499605,5140547
Ashburton District,14/11/2014,Fri,1955,LB,CN14,303B 375B 929 ,,R,D,OF,F ,D,N,C,50,0,0,0,1496973,5136324
Ashburton District,28/07/2014,Mon,1750,FA,VS1C,331A 386A ,,R,D,DN,F , , ,N,100,0,0,0,1481515,5170855
Ashburton District,21/07/2014,Mon,2138,CB,CS1,130A 410A ,P,R,D,DN,F , ,N,C,100,0,0,1,1470313,5141026
Ashburton District,09/11/2014,Sun,1755,DA,CN1,103A 129A 131A ,F,M,D,B ,F , , ,C,100,0,0,0,1471210,5154408
Ashburton District,28/03/2014,Fri,703,FA,CS1C,181A 330A 191B ,,R,W,DN,F , ,N,C,100,0,0,1,1468774,5137851
Ashburton District,25/04/2014,Fri,1625,CB,4N1,129A 358A ,T,R,D,B ,F , , ,C,100,0,0,0,1471772,5144032
Ashburton District,11/08/2014,Mon,530,DA,TS1,111A 131A ,,E,D,DN,F , ,N,C,100,0,0,1,1474720,5161633
Ashburton District,05/09/2014,Fri,2226,CC,CN1,130A 402A 412A ,FP,R,D,DN,F , , ,C,100,0,0,0,1491505,5149417
Ashburton District,10/02/2014,Mon,1815,CC,TS1,112A 129A ,FP,R,D,B ,F , ,N,C,100,0,0,0,1493833,5147489
Ashburton District,07/09/2014,Sun,205,EA,CS1C,103A 129A ,M,R,D,DN,F , , ,C,100,0,0,0,1501584,5135327
Ashburton District,01/01/2014,Wed,950,CB,VS1,410A ,J,R,D,O ,F , , ,C,70,0,0,0,1500990,5139417
Ashburton District,28/05/2014,Wed,1500,MD,EE1C,722A 371B 378B 835 929 ,,R,D,B ,F ,D,N,P,50,0,0,1,1500684,5138169
Ashburton District,20/09/2014,Sat,2011,MO,CS1,130A ,S,R,W,DO,L ,T,G,C,50,0,0,0,1501247,5138691
Ashburton District,22/08/2014,Fri,1055,HA,CS2C,302A 375A ,,R,D,B ,F ,X,G,C,50,0,0,0,1500033,5138224
Ashburton District,23/08/2014,Sat,1307,HA,CN2C,302B 375B ,,R,D,BF,F ,X,G,C,50,0,0,1,1499856,5138060
Ashburton District,06/12/2014,Sat,2000,CA,CN1,103A 130A 433A ,P,R,D,B ,F , , ,C,50,0,0,0,1497050,5135508
Ashburton District,20/08/2014,Wed,855,EA,VW1C,129A 358A ,M,R,D,O ,F ,T,G,R,50,0,0,2,1499925,5137469
Ashburton District,25/10/2014,Sat,219,CB,VE1,103A 130A 433A ,F,R,D,DO,F , , ,N,50,0,0,0,1498752,5139900
Ashburton District,20/07/2014,Sun,1220,DA,CE1,111A 131A ,V,R,D,B ,F ,T,N,C,100,0,0,0,1475307,5135376
Ashburton District,30/05/2014,Fri,1900,CC,CS1,138A 402A ,F,R,D,DN,F , ,N,N,100,0,0,0,1492741,5172552
Ashburton District,01/08/2014,Fri,1800,EA,CS1C,129A ,M,R,D,DO,F , ,N,C,50,0,0,0,1499222,5137497
Ashburton District,10/09/2014,Wed,124,CB,CN1,103A 112A ,P,R,D,DO,F ,X,G,C,50,0,0,0,1499400,5137305
Ashburton District,14/01/2014,Tue,1250,JA,VS1C,308B 375B 926 ,,E,D,B ,F ,D,N,C,50,0,0,0,1499032,5137705
Ashburton District,11/11/2014,Tue,1618,MO,CN1C,371A 386A ,,R,D,B ,F , , ,C,50,0,0,0,1499425,5137961
Ashburton District,17/02/2014,Mon,1218,MO,4S1C,371A 386A ,M,R,D,B ,F , ,N,C,50,0,0,0,1499633,5138154
Ashburton District,14/09/2014,Sun,2022,DB,CE1,131A 410A ,FP,M,D,DN,F , , ,C,100,0,1,0,1493324,5136853
Ashburton District,26/05/2014,Mon,1530,FC,VN1C,181A ,,R,W,OF,L ,T,G,X,50,0,0,2,1497296,5135928
Ashburton District,03/06/2014,Tue,1540,CB,CS1,351A 352A ,E,R,D,B ,F , ,N,N,100,0,1,1,1452650,5179103
Ashburton District,06/02/2014,Thu,1645,DA,CS1,110A 138A 404A ,F,E,D,BN,F , , ,N,100,0,0,0,1482587,5172775
Ashburton District,12/03/2014,Wed,1445,QC,4W1,112A 321A ,N,R,D,B ,F ,X,S,L,100,0,0,1,1518649,5152795
Ashburton District,04/08/2014,Mon,955,MB,CW1C,303B ,,R,D,B ,F , , ,C,50,0,0,0,1499473,5138115
Ashburton District,07/07/2014,Mon,1520,LB,CS1C,303B 375B 930 ,,R,D,BF,F ,D,N,C,50,0,0,0,1499433,5138160
Ashburton District,16/10/2014,Thu,1840,EA,CS1C,129A ,M,R,D,TF,F , , ,C,50,0,0,0,1499020,5138602
Ashburton District,06/12/2014,Sat,1240,MD,CE14,371B 929 ,,R,D,B ,F ,D, ,C,100,0,0,0,1499687,5142152
Ashburton District,27/04/2014,Sun,1730,CB,CE1,130A 801 901 ,CP,R,W,O ,HS, , ,N,100,0,0,0,1503951,5137377
Ashburton District,11/12/2014,Thu,1000,DA,CS1,111A 131A ,V,M,W,ON,M ,X,G,C,50,0,0,0,1488307,5118996
Ashburton District,19/07/2014,Sat,45,NG,CW1E,357A 371A 730B 904 ,,R,D,DO,M , , ,N,50,0,1,0,1490932,5168028
Ashburton District,20/11/2014,Thu,645,JA,VW1C,303B 902 ,,R,D,B ,F ,T,N,C,50,0,0,0,1497003,5136398
Ashburton District,05/10/2014,Sun,330,DA,CN1,135A 645A 802 929 ,CF,R,I,DN,FF,D,N,C,100,0,0,0,1500227,5158187
Ashburton District,14/06/2014,Sat,200,DC,VW2,103A ,T,R,D,DN,F ,T,S,N,100,0,0,0,1520394,5150442
Ashburton District,16/06/2014,Mon,1340,HA,TN2C,301A ,,R,D,O ,F ,X,S,C,100,0,1,1,1491538,5134642
