TLANAME,CRASHROAD,CRASHDIST,CRASHDIRN,INTSN,SIDEROAD,CRASHID,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,PERSAGE1,PERSAGE2,EASTING,NORTHING
Ashburton District,ACTON ROAD,710,E, ,MICHAEL ST,201400074,05/04/2014,Sat,2255,PO,CS1E,103A 198A 330A 724B 728B ,,R,W,DN,F , , ,C,100,1,0,0,18,,1522691,5154177
Ashburton District,ALFORD FOREST CEMETERY RO,2300,S, ,ARUNDEL RAKAIA GORGE ROAD,201410392,01/01/2014,Wed,1753,CB,CS1,131A ,TX,R,D,BN,F , ,N,N,100,0,1,0,,,1478333,5167504
Ashburton District,ALLENS ROAD,, ,I,CARTERS ROAD,201413142,01/05/2014,Thu,310,DC,CS2,103A 109A ,FT,R,D,DN,F ,T,N,N,70,0,0,1,,,1499605,5140547
Ashburton District,ANNE ST,80,S, ,LAGMHOR ROAD,201449020,14/11/2014,Fri,1955,LB,CN14,303B 375B 929 ,,R,D,OF,F ,D,N,C,50,0,0,0,,,1496973,5136324
Ashburton District,ARUNDEL RAKAIA GORGE ROAD,, ,A,ASHBURTON RIV BR,201440591,28/07/2014,Mon,1750,FA,VS1C,331A 386A ,,R,D,DN,F , , ,N,100,0,0,0,,,1481515,5170855
Ashburton District,ARUNDEL RAKAIA GORGE ROAD,280,N, ,BARNSWOOD ROAD,201414273,21/07/2014,Mon,2138,CB,CS1,130A 410A ,P,R,D,DN,F , ,N,C,100,0,0,1,,,1470313,5141026
Ashburton District,ARUNDEL RAKAIA GORGE ROAD,100,N, ,HEENANS ROAD,201448141,09/11/2014,Sun,1755,DA,CN1,103A 129A 131A ,F,M,D,B ,F , , ,C,100,0,0,0,,,1471210,5154408
Ashburton District,ARUNDEL RAKAIA GORGE ROAD,20,N, ,JAINES ROAD,201412050,28/03/2014,Fri,703,FA,CS1C,181A 330A 191B ,,R,W,DN,F , ,N,C,100,0,0,1,,,1468774,5137851
Ashburton District,ARUNDEL RAKAIA GORGE ROAD,3000,S, ,LISMORE MAYFIELD ROAD,201436970,25/04/2014,Fri,1625,CB,4N1,129A 358A ,T,R,D,B ,F , , ,C,100,0,0,0,,,1471772,5144032
Ashburton District,ARUNDEL RAKAIA GORGE ROAD,200,S, ,LOCHHEADS ROAD,201414277,11/08/2014,Mon,530,DA,TS1,111A 131A ,,E,D,DN,F , ,N,C,100,0,0,1,,,1474720,5161633
Ashburton District,ASHBURTON STAVELEY ROAD,1600,N, ,DRISCOLLS ROAD,201445247,05/09/2014,Fri,2226,CC,CN1,130A 402A 412A ,FP,R,D,DN,F , , ,C,100,0,0,0,,,1491505,5149417
Ashburton District,ASHBURTON STAVELEY ROAD,280,S, ,OLLIVERS ROAD,201431198,10/02/2014,Mon,1815,CC,TS1,112A 129A ,FP,R,D,B ,F , ,N,C,100,0,0,0,,,1493833,5147489
Ashburton District,BEACH ROAD EAST,200,S, ,MILTON ROAD,201443698,07/09/2014,Sun,205,EA,CS1C,103A 129A ,M,R,D,DN,F , , ,C,100,0,0,0,,,1501584,5135327
Ashburton District,BREMNERS ROAD,20,N, ,SEAFIELD ROAD,201431701,01/01/2014,Wed,950,CB,VS1,410A ,J,R,D,O ,F , , ,C,70,0,0,0,,,1500990,5139417
Ashburton District,BRIDGE ST,40,S, ,PORTER ST,201413228,28/05/2014,Wed,1500,MD,EE1C,722A 371B 378B 835 929 ,,R,D,B ,F ,D,N,P,50,0,0,1,,,1500684,5138169
Ashburton District,BRIDGE ST,, ,I,TUARANGI ROAD,201446317,20/09/2014,Sat,2011,MO,CS1,130A ,S,R,W,DO,L ,T,G,C,50,0,0,0,,,1501247,5138691
Ashburton District,CASS ST,, ,I,COX ST,201442349,22/08/2014,Fri,1055,HA,CS2C,302A 375A ,,R,D,B ,F ,X,G,C,50,0,0,0,,,1500033,5138224
Ashburton District,CASS ST,, ,I,WILLS ST,201415762,23/08/2014,Sat,1307,HA,CN2C,302B 375B ,,R,D,BF,F ,X,G,C,50,0,0,1,,,1499856,5138060
Ashburton District,CATHERINE ST,70,S, ,HARLAND ST,201450128,06/12/2014,Sat,2000,CA,CN1,103A 130A 433A ,P,R,D,B ,F , , ,C,50,0,0,0,,,1497050,5135508
Ashburton District,CHALMERS AVENUE,10,E, ,BURNETT ST,201415813,20/08/2014,Wed,855,EA,VW1C,129A 358A ,M,R,D,O ,F ,T,G,R,50,0,0,2,,,1499925,5137469
Ashburton District,CLARK ST,160,W, ,HARRISON ST,201446106,25/10/2014,Sat,219,CB,VE1,103A 130A 433A ,F,R,D,DO,F , , ,N,50,0,0,0,,,1498752,5139900
Ashburton District,CRACROFT MARONAN ROAD,, ,I,STONYLEA ROAD,201445996,20/07/2014,Sun,1220,DA,CE1,111A 131A ,V,R,D,B ,F ,T,N,C,100,0,0,0,,,1475307,5135376
Ashburton District,DARTS ROAD,2600,E, ,BACK TRACK,201436795,30/05/2014,Fri,1900,CC,CS1,138A 402A ,F,R,D,DN,F , ,N,N,100,0,0,0,,,1492741,5172552
Ashburton District,DOBSON ST,20,N, ,CASS ST,201441496,01/08/2014,Fri,1800,EA,CS1C,129A ,M,R,D,DO,F , ,N,C,50,0,0,0,,,1499222,5137497
Ashburton District,DOBSON ST,, ,I,WILLIAM ST,201450612,10/09/2014,Wed,124,CB,CN1,103A 112A ,P,R,D,DO,F ,X,G,C,50,0,0,0,,,1499400,5137305
Ashburton District,DOBSON ST WEST,120,S, ,KERMODE ST WEST,201430386,14/01/2014,Tue,1250,JA,VS1C,308B 375B 926 ,,E,D,B ,F ,D,N,C,50,0,0,0,,,1499032,5137705
Ashburton District,EAST ST,20,S, ,BURNETT ST,201448138,11/11/2014,Tue,1618,MO,CN1C,371A 386A ,,R,D,B ,F , , ,C,50,0,0,0,,,1499425,5137961
Ashburton District,EAST ST,20,N, ,CAMERON ST,201431132,17/02/2014,Mon,1218,MO,4S1C,371A 386A ,M,R,D,B ,F , ,N,C,50,0,0,0,,,1499633,5138154
Ashburton District,FRASERS ROAD,520,E, ,LILLS ROAD,201415984,14/09/2014,Sun,2022,DB,CE1,131A 410A ,FP,M,D,DN,F , , ,C,100,0,1,0,,,1493324,5136853
Ashburton District,GRAHAM ST,10,E, ,THOMSON ST,201418030,26/05/2014,Mon,1530,FC,VN1C,181A ,,R,W,OF,L ,T,G,X,50,0,0,2,,,1497296,5135928
Ashburton District,HAKATERE HERON ROAD,12000,N, ,ASHBURTON GORGE ROAD,201414076,03/06/2014,Tue,1540,CB,CS1,351A 352A ,E,R,D,B ,F , ,N,N,100,0,1,1,,,1452650,5179103
Ashburton District,HART ROAD,1200,W, ,ARUNDEL RAKAIA GORGE ROAD,201432403,06/02/2014,Thu,1645,DA,CS1,110A 138A 404A ,F,E,D,BN,F , , ,N,100,0,0,0,,,1482587,5172775
Ashburton District,HATFIELD OVERDALE ROAD,, ,A,RAIL XING,201410749,12/03/2014,Wed,1445,QC,4W1,112A 321A ,N,R,D,B ,F ,X,S,L,100,0,0,1,,,1518649,5152795
Ashburton District,HAVELOCK ST,60,E, ,BARING SQUARE WEST,201441611,04/08/2014,Mon,955,MB,CW1C,303B ,,R,D,B ,F , , ,C,50,0,0,0,,,1499473,5138115
Ashburton District,HAVELOCK ST,, ,I,BARING SQUARE WEST,201442446,07/07/2014,Mon,1520,LB,CS1C,303B 375B 930 ,,R,D,BF,F ,D,N,C,50,0,0,0,,,1499433,5138160
Ashburton District,HAVELOCK ST,40,N, ,GRIGG ST,201445889,16/10/2014,Thu,1840,EA,CS1C,129A ,M,R,D,TF,F , , ,C,50,0,0,0,,,1499020,5138602
Ashburton District,HEPBURNS ROAD,50,W, ,RUNDLES ROAD,201449599,06/12/2014,Sat,1240,MD,CE14,371B 929 ,,R,D,B ,F ,D, ,C,100,0,0,0,,,1499687,5142152
Ashburton District,HOATTENS ROAD,550,E, ,SEAFIELD ROAD,201443751,27/04/2014,Sun,1730,CB,CE1,130A 801 901 ,CP,R,W,O ,HS, , ,N,100,0,0,0,,,1503951,5137377
Ashburton District,ISLEWORTH ROAD,, ,I,POPLAR ROAD,201451089,11/12/2014,Thu,1000,DA,CS1,111A 131A ,V,M,W,ON,M ,X,G,C,50,0,0,0,,,1488307,5118996
Ashburton District,KILWORTH ST,170,W, ,MACKIE ST,201414658,19/07/2014,Sat,45,NG,CW1E,357A 371A 730B 904 ,,R,D,DO,M , , ,N,50,0,1,0,25,,1490932,5168028
Ashburton District,LAGMHOR ROAD,, ,I,ANNE ST,201448134,20/11/2014,Thu,645,JA,VW1C,303B 902 ,,R,D,B ,F ,T,N,C,50,0,0,0,,,1497003,5136398
Ashburton District,LINE ROAD,1150,S, ,URRALL ROAD,201446910,05/10/2014,Sun,330,DA,CN1,135A 645A 802 929 ,CF,R,I,DN,FF,D,N,C,100,0,0,0,,,1500227,5158187
Ashburton District,MAINWARINGS ROAD,, ,I,MCLACHLANS ROAD,201440016,14/06/2014,Sat,200,DC,VW2,103A ,T,R,D,DN,F ,T,S,N,100,0,0,0,,,1520394,5150442
Ashburton District,MARONAN ROAD,, ,I,WINSLOW WESTERFIELD ROAD,201413555,16/06/2014,Mon,1340,HA,TN2C,301A ,,R,D,O ,F ,X,S,C,100,0,1,1,,,1491538,5134642
Ashburton District,MAYFIELD VALETTA ROAD,300,W, ,TRAMWAY ROAD,201413674,06/04/2014,Sun,2200,DA,4N1,103A 332A 358A 801 904 ,F,M,W,DN,M , , ,C,100,0,0,1,,,1481626,5156163
Ashburton District,MAYFIELD VALETTA ROAD,1000,S, ,WALLACES ROAD,201410219,03/01/2014,Fri,855,CC,4S1,135A 406A 903 ,,R,D,B ,FS, ,N,C,100,0,0,1,,,1477280,5151687
Ashburton District,MOORE ST,, ,I,CASS ST,201450126,01/12/2014,Mon,924,HA,CN2C,301A 375A ,,R,D,B ,F ,X,S,C,50,0,0,0,,,1499413,5137647
Ashburton District,MOORE ST,, ,I,WILLIAM ST,201436941,13/05/2014,Tue,1240,HA,CE1C,321B ,,R,D,O ,F ,X,S,C,50,0,0,0,,,1499578,5137471
Ashburton District,NELSON ST,, ,I,CAMBRIDGE ST,201431086,16/02/2014,Sun,1130,HA,CN1C,302A 335A ,,R,D,B ,F ,X,G,N,50,0,0,0,,,1500398,5137491
Ashburton District,NELSON ST,, ,I,CAMBRIDGE ST,201431129,17/02/2014,Mon,1700,HA,CN1C,113A 302A ,,R,D,B ,F ,X,G,C,50,0,0,0,,,1500398,5137491
Ashburton District,NORMANBY ROAD,400,N, ,WEST TOWN BELT,201418776,08/12/2014,Mon,2100,CB,CN1,130A 433A ,CFX,R,D,TN,F , , ,N,100,0,0,2,,,1520712,5155694
Ashburton District,NORTHPARK ROAD,, ,A,RAIL XING,201400149,07/07/2014,Mon,815,QC,TN1,363A 370A 532A 902 ,FNS,R,D,B ,F , ,G,C,50,1,0,0,,,1502292,5140467
Ashburton District,OAK GROVE,, ,I,ELIZABETH ST,201436924,23/05/2014,Fri,1325,HA,CN2C,302A 834 ,,R,D,B ,F ,X,G,R,50,0,0,0,,,1499168,5139156
Ashburton District,OAK GROVE,, ,I,HARRISON ST,201446391,06/09/2014,Sat,1655,DB,CN1C,103A 111A 131A ,S,M,D,BF,F ,R,G,R,50,0,0,0,,,1499428,5139421
